date,temperature,humidity,co2_levels,location,wind_speed,rainfall,pressure
2024-01-01,25.3,78,412.5,Karachi,14,0.0,1012
2024-01-02,26.7,75,413.2,Karachi,13,0.2,1011
2024-01-03,28.1,80,414.0,Karachi,16,0.0,1010
2024-01-04,29.3,82,415.3,Karachi,15,0.1,1009
2024-01-05,30.0,85,416.0,Karachi,17,0.0,1008
2024-01-06,26.8,79,413.4,Karachi,12,0.3,1011
2024-01-07,27.1,80,414.2,Karachi,13,0.0,1010
2024-01-08,28.2,81,415.1,Karachi,14,0.0,1009
2024-01-09,29.0,83,416.4,Karachi,15,0.0,1007
2024-01-10,29.6,84,417.0,Karachi,16,0.2,1006
2024-01-11,28.3,82,416.8,Karachi,14,0.1,1008
2024-01-12,27.9,81,415.9,Karachi,13,0.0,1009
2024-01-13,26.4,80,414.3,Karachi,12,0.0,1010
2024-01-14,25.1,79,413.0,Karachi,11,0.0,1012
2024-01-15,24.8,78,412.5,Karachi,10,0.4,1013
2024-01-16,26.1,80,414.0,Karachi,12,0.0,1011
2024-01-17,27.4,81,415.2,Karachi,13,0.0,1010
2024-01-18,28.7,82,416.5,Karachi,14,0.0,1009
2024-01-19,29.2,83,417.1,Karachi,15,0.2,1008
2024-01-20,29.8,85,417.9,Karachi,16,0.0,1007
2024-01-21,30.4,86,418.5,Karachi,17,0.0,1006
2024-01-22,29.1,84,417.3,Karachi,14,0.1,1007
2024-01-23,28.0,83,416.1,Karachi,13,0.0,1008
2024-01-24,27.6,81,414.9,Karachi,12,0.0,1009
2024-01-25,26.3,80,413.6,Karachi,11,0.3,1011
2024-01-26,25.7,79,413.0,Karachi,10,0.0,1012
2024-01-27,24.9,78,412.3,Karachi,9,0.0,1013
2024-01-28,25.4,77,412.9,Karachi,10,0.0,1012
